,Municipality,General_Coefficient,General_Accuracy,Prefecture_Coefficient,Prefecture_Accuracy,Municipality_Coefficient,Municipality_Accuracy
80,Kodaira City,1.0185918370447784,0.10897770528265172,1.0,0.1120924741269985,1.0,0.10551393081202397
81,Hino City,1.028767656802351,0.14603103773711393,1.0320685969434078,0.15615144493135566,1.0,0.14541707081532393
82,Higashimurayama City,0.9996991972333604,0.09547077509290795,1.0,0.09777864062679659,1.002747257911933,0.08376489708503132
83,Kokubunji City,1.0765946043845336,0.07603475054183105,1.0939174227138122,0.08484234614898141,1.0513411883671948,0.10124204562670755
84,Kunitachi City,1.021232504881382,0.19374290135774583,1.01793903462222,0.19356527919601269,1.050339150076613,0.14900057849664236
85,Fussa City,1.0052991297913174,0.17870248874071049,0.9891532062203213,0.16565638569173624,0.9811643193990902,0.1213149929039704
86,Komae City,1.0224185961935381,0.13844904276756814,1.0385042398217592,0.1334083850519858,1.092120147561414,0.13278781163841316
87,Higashiyamato City,0.9681386779760949,0.1569286451676742,0.9794343184919934,0.16115911074854905,1.0011399158749077,0.18418714321621976
88,Kiyose City,1.0102187254740898,0.2378649157289904,0.9492455645197618,0.24846252223629767,1.0092239785071213,0.20751771405440947
89,Higashikurume City,1.0220869978898044,0.14957228542067907,1.0301766279251252,0.1515728310211894,1.042929185689905,0.1547983285126005
90,Musashimurayama City,0.928587902885894,0.014977375438482507,0.8897375250003299,0.02497352223692729,0.962761115916013,0.05143280181456219
91,Tama City,1.021420229784134,0.1912883672080929,1.0286395440717997,0.19316067980171894,1.0013644680295601,0.16685151434769976
92,Inagi City,0.9948032834671723,0.15856603185425933,0.9936897085231963,0.15354854623448483,1.0213598719872345,0.11336124793709815
93,Hamura City,1.0,0.40578538360363975,1.0,0.4235907356136954,1.0,0.29850257153891124
94,Akiruno City,0.8861455185387477,0.26693363579247714,0.875321145629187,0.23765900374489957,0.9433036941722596,0.18077460522713729
95,Nishitokyo City,1.0,0.07387335260943327,1.0012733930150977,0.07459407420333838,1.0345813875519416,0.07788806405868014
96,"Mizuho Town,Nishitama County",0.9999999921584969,0.13681235752726142,0.9999999913167751,0.12658588253353176,1.0,0.28628436084678843
97,"Tsurumi Ward,Yokohama City",1.0640809404519878,0.14016230385736805,1.0473062671411493,0.13896225096337714,1.082888723889003,0.1394441204202575
98,"Kanagawa Ward,Yokohama City",1.182360357988789,0.14893489827725656,1.1364617344899317,0.15282817817369657,1.1292647331488854,0.15901501930266482
99,"Nishi Ward,Yokohama City",1.1617802777299202,0.1409622335563551,1.1834882380913039,0.14775138386977485,1.1677731764454906,0.1346195162086383
100,"Naka Ward,Yokohama City",1.1452093254660511,0.19688528697885962,1.098391831107419,0.20075487258596394,1.043451357159299,0.17606803578548966
