,Municipality,Prefecture_Coefficient,Prefecture_Accuracy,Municipality_Coefficient,Municipality_Accuracy
67,"Kamikawa Town,Kamikawa County",1.0257679586903685,0.2551480457261755,1.0,0.5182357330240669
68,"Biei Town,Kamikawa County",1.0699826853646845,0.34550686297476896,0.9651826490440785,0.42800380763875484
69,"Kamifurano Town,Sorachi County",1.2326171032438402,0.0005060230404523901,1.0007212229515332,0.00010917960154695905
70,"Shimokawa Town,Kamikawa County",1.0,0.03667325978417755,0.9852228710404427,0.0760429556676252
71,"Bifuka Town,Nakagawa County",1.0,0.09818974462347109,0.9535250584287001,1.1371025343982963
72,"Mashike Town,Mashike County",0.9947510206362273,1.7798411449277125,1.0041465666932574,5.8682393660001635
73,"Haboro Town,Tomamae County",0.7986411602794222,0.5914044656558172,0.999999998402953,0.7299814625711741
74,"Hamatonbetsu Town,Esashi County",1.0,0.22021599589094892,0.9999999965028173,0.41895609448300475
75,"Esashi Town,Esashi County",1.4232958602129462,0.5230093770633815,0.8980850360179342,0.08243952815106037
76,"Bihoro Town,Abashiri County",1.1989450805495447,0.17614746201173231,1.0,0.16505779103318913
77,"Shari Town,Shari County",1.0,0.15766800562383004,1.0,0.2618094306116214
78,"Engaru Town,Monbetsu County",0.71469815895264,1.245776544736069,0.49608317331824203,0.526614398980244
79,"Takinoue Town,Monbetsu County",0.8861829901364779,0.31898775473810637,0.9798002742779757,0.6954585734734728
80,"Okoppe Town,Monbetsu County",0.7729736807243901,0.529215587120019,1.0236681754182895,1.512861045140218
81,"Omu Town,Monbetsu County",0.9827792703024799,0.09596598084292572,1.0,0.19890407482009784
82,"Ozora Town,Abashiri County",1.0,0.11104101077623642,1.0,0.3999993740646437
83,"Shiraoi Town,Shiraoi County",1.3119305270633868,0.3042111003946391,1.0610730588516455,0.5261421478919031
84,"Atsuma Town,Yufutsu County",1.1878606414392272,0.23889049005661125,0.9999666417114037,0.32569110321936673
85,"Toyako Town,Abuta County",0.5985608826205715,0.2099159972740502,1.0,0.8783683553565019
86,"Abira Town,Yufutsu County",0.9039362003535809,0.00013557965463173715,0.9873242051709568,0.7023961758979196
87,"Mukawa Town,Yufutsu County",1.0,0.2006718105961629,1.0017609203129303,0.24384130352316435
88,"Hidaka Town,Saru County",0.9999999988575857,0.712067146700392,1.0,0.8843398557733412
89,"Urakawa Town,Urakawa County",1.032905843515695,0.6954732941492567,1.0137616503003988,0.5921843839922125
90,"Shinhidaka Town,Hidaka County",1.0,0.31767654807323537,0.9341524816145556,0.20315140653883132
91,"Otofuke Town,Kato County",1.019810957273321,0.19214814293033475,0.9983813656398811,0.21813222195308787
92,"Shintoku Town,Kamikawa County",0.9059126451390485,0.2710402131208492,0.999999998730106,0.7151286151322294
93,"Shimizu Town,Kamikawa County",1.2827635437719318,0.007205037891130112,0.9757443727670847,0.03541185087048383
94,"Memuro Town,Kasai County",1.187584399793847,0.5271956415311452,0.9260302946031592,0.8229738325361071
95,"Taiki Town,Hiroo County",0.6354926653598989,0.7668557040938349,1.0933504227499933,0.6897732722183165
96,"Sobetsu Town,Usu County",1.0,9999.0,1.0,9999.0
97,"Hiroo Town,Hiroo County",1.0,0.14885507504470943,0.8906406852823969,1.1926467846455093
98,"Makubetsu Town,Nakagawa County",1.0,1.2048960223888379,1.0,1.2098184557944707
99,"Ikeda Town,Nakagawa County",1.0,0.5479278691118709,1.0001775802007284,0.13062314786558873
100,"Honbetsu Town,Nakagawa County",0.6779878216607877,0.25940330321116883,1.065197869648113,0.268148738509131
101,"Ashoro Town,Ashoro County",1.0,0.15092042679402065,1.0,0.26872578559993054
102,"Urahoro Town,Tokachi County",0.9352788367115823,0.4329357029838555,0.9999935151460558,0.40690987691555014
103,"Kushiro Town,Kushiro County",1.3967503726305732,0.6868771996850552,1.0398052121181354,0.6032912620567442
104,"Akkeshi Town,Akkeshi County",0.9999999952810896,0.26224145955311157,1.0,0.38352638337688627
105,"Shibecha Town,Kawakami County",1.0,0.5935272592772503,1.0,0.5437775395208916
106,"Teshikaga Town,Kawakami County",0.850050405191453,0.6669251628047208,0.9963428835282435,2.892018417479404
107,"Shiranuka Town,Shiranuka County",1.0,0.36324530433002333,1.0,0.32959553847491074
108,"Nakashibetsu Town,Shibetsu County",1.3528998482842969,0.15335680350103606,1.0505521399921653,0.13458756857550672
109,Aomori City,0.9280035109130038,0.2872853626507028,0.9564889264976524,0.28985683500743686
110,Hirosaki City,0.9397266940394435,0.301085679017745,0.9757815288619491,0.33055017272106274
111,Hachinohe City,0.8285741905206268,0.21595015059257822,0.926287588381321,0.20528523627553788
112,Kuroishi City,1.0867678206139542,0.31962991694153536,0.7999554902754651,0.09050012317403097
113,Goshogawara City,0.919301460923609,0.3269242109038156,0.7988844009506362,0.28221486495398784
114,Towada City,0.9379157004279817,0.4104002606361453,0.9351515171559854,0.29064468066144555
115,Misawa City,0.9003814806054123,0.24481066579236943,0.8884662479597849,0.2938926361016528
116,Mutsu City,0.8625001120373255,0.3000359864526319,0.8877676096867682,0.2960493655589584
117,Tsugaru City,1.0,0.4592757358288625,1.0096962811581538,0.011157795999171197
118,Hirakawa City,1.242323723616838,0.009940458408640203,0.9781781314540973,0.0005808587859650454
119,"Hiranai Town,Higashitsugaru County",1.2090874911449272,0.24086491004617713,0.9993116662524291,0.07675543777126385
120,"Sotogahama Town,Higashitsugaru County",1.0107811382901268,0.43999237403229396,1.0,2.3244313804186465
121,"Ajigasawa Town,Nishitsugaru County",0.47946496831776475,2.232111253704673,0.9999999979338393,3.4044696671497587
122,"Fujisaki Town,Minamitsugaru County",0.9999999979106968,0.15076691327365796,0.9999999960381483,0.5224272631911967
123,"Owani Town,Minamitsugaru County",1.1637916915686566,0.4568914693984373,1.0,0.8096926724662625
124,"Inakadate Village,Minamitsugaru County",0.9999999933192192,0.00010885266609750682,0.9999999921993799,0.5368431334537299
125,"Itayanagi Town,Kitatsugaru County",0.0034283143686895112,24.558290746652542,0.39308744170857013,38.95200681007491
126,"Tsuruta Town,Kitatsugaru County",1.0,0.3176693323149427,0.9615556508054917,0.25103494397158926
127,"Noheji Town,Kamikita County",1.0,0.4192362254802896,1.0,0.4286099705810476
128,"Shichinohe Town,Kamikita County",1.0,0.4652151878864527,1.0,0.900799978522122
129,"Rokunohe Town,Kamikita County",0.4313501445241994,0.31029618752535487,1.0,0.729715544134645
130,"Tohoku Town,Kamikita County",0.9625249285895305,0.33955431670887287,1.046974414878655,0.4288067331793874
131,"Rokkasho Village,Kamikita County",1.0,0.14321548379855514,1.0,0.6940851108829325
132,"Oirase Town,Kamikita County",0.8902892558777655,0.47566957992596026,0.9865939449263387,0.7256854979896358
133,"Sannohe Town,Sannohe County",1.0844249233237955,0.35206014031292804,0.9999999923859314,0.5269301183002654
134,"Gonohe Town,Sannohe County",1.0,0.9678117927710163,0.9887912187477402,0.7314876573555419
135,"Nanbu Town,Sannohe County",1.0,0.4034813896329489,1.0,0.2979484055782958
136,"Hashikami Town,Sannohe County",1.0,0.591438389823012,1.0,0.4924874836783348
137,Morioka City,0.9136762515915897,0.2646635453690446,0.9550207143375441,0.24633259603992197
138,Miyako City,0.999999999578028,0.3224111677864599,0.9999999980254776,0.41573739608541754
139,Ofunato City,1.0,0.46206306221804444,0.9999999984351677,0.3994586563465068
140,Hanamaki City,0.8538332768608266,0.2122838677091387,0.7957703183503353,0.24831985490016614
